,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,67419,62050,51742,39940,35273,55573,99082,105395,107210,93371,87752,71040,74885,87522,79236,76675,73667,70023,76035,69628,66176,76420,79453,61085
1,8538,12652,14935,18074,30180,52831,65824,37903,20622,16760,15003,10847,10501,11692,11255,14619,11729,10386,12284,10846,11147,12167,10704,6632
2,3958,7282,11507,22366,36982,43518,36327,17314,9166,9710,8275,5885,4821,5633,5964,8716,5897,5455,6322,5882,4981,5264,4791,2611
3,2384,6397,15528,31683,32896,24572,18348,13724,4706,6956,3787,6516,2649,3356,3014,6282,3267,3311,3775,3085,2580,2466,2145,1421
4,2159,10273,25848,33074,20037,19051,15128,10976,3004,4288,2038,5421,1769,2205,1882,4837,2259,2354,2488,1964,1516,1281,1193,1088
5,3589,16923,28202,22255,13252,15503,13103,9394,1739,2912,1422,4328,1182,1462,1541,6045,1798,1811,2213,1248,966,848,911,996
6,5575,18168,15868,13796,12106,11880,16064,7139,1127,2347,1083,3723,901,1063,1205,7502,1319,1174,1451,673,621,557,770,1367
7,6344,11777,7372,9406,12144,9656,12450,5645,730,2097,796,3284,619,893,968,7228,923,743,1095,453,499,424,954,2494
8,3913,6109,4243,7278,10686,8110,11895,5155,546,1960,636,3116,567,874,809,7063,663,404,967,360,1164,484,1441,4445
9,1904,4165,2709,9678,7832,7162,10447,4799,451,1814,560,2842,471,796,633,5239,342,270,930,524,2035,873,1767,3771
10,1828,3308,2037,7315,6478,6858,9273,5256,409,1554,495,2908,420,668,523,3070,244,246,933,680,3689,953,1534,3135
11,2034,2801,1531,6024,5719,6602,9112,5978,337,1627,448,2714,312,656,315,2023,189,191,1282,3079,6469,1187,1080,2332
12,608,763,722,899,781,730,1014,764,285,437,375,396,264,317,172,277,139,163,417,606,975,723,679,501
13,431,503,500,519,494,451,632,492,261,369,359,300,190,190,147,173,134,213,396,403,638,529,468,429
14,289,427,456,445,410,442,635,459,232,320,327,169,153,144,162,189,186,294,436,373,429,381,427,291
15,238,374,374,376,407,443,606,467,220,275,213,144,132,143,147,330,218,271,361,315,319,339,400,318
16,213,330,301,383,339,397,550,392,228,177,168,124,110,156,269,412,224,272,366,216,326,288,336,223
17,214,292,347,369,360,388,464,370,129,147,132,115,96,242,292,480,253,246,267,234,307,266,266,233
18,238,300,342,321,344,301,454,234,115,117,124,124,144,295,301,460,271,201,290,223,260,269,241,197
19,184,286,343,349,319,327,312,188,127,127,113,166,117,289,296,384,166,186,258,197,211,232,219,207
20,172,221,310,245,279,186,157,129,137,100,141,122,173,236,276,238,145,154,187,161,178,152,213,154
21,173,218,291,267,207,148,161,117,127,108,146,173,156,235,220,229,174,152,158,167,180,179,215,186
22,143,206,282,169,177,151,142,113,140,130,176,177,151,202,194,225,177,149,171,152,202,169,248,149
23,152,236,201,150,170,130,167,150,151,156,217,162,156,160,211,259,141,132,157,159,174,162,236,156
