,title,buzz_pct,view,reply,symph
1,"[ (속보) 세월호 특조위, 황교안 조사 결정 ](https://www.clien.net/service/board/park/13443402)",1.64,22949,49,328
2,[ 대한민국 역사상 선거제를 단독으로 입법 처리한적은 없습니다. ](https://www.clien.net/service/board/park/13443231),1.19,17436,71,225
3,[ 임은정 검사의 페북.... ](https://www.clien.net/service/board/park/13445908),1.11,20192,26,218
4,[ 전우용 교수 트윗 ](https://www.clien.net/service/board/park/13443421),1.02,11264,43,204
5,[ 곰탕집 성추행은 결국 이렇게 끝나네요 ](https://www.clien.net/service/board/park/13443049),0.98,26654,111,152
6,[ 자유한국당의 근성.jpg ](https://www.clien.net/service/board/park/13445201),0.97,19106,30,186
7,"[ 반말하지 마라, 김재원 의원 ](https://www.clien.net/service/board/park/13443505)",0.96,18040,54,178
8,[ 오늘자 장도리 ](https://www.clien.net/service/board/park/13443237),0.88,16758,25,170
9,[ 제1차 자한당 해산 집회 공지 떴습니다! ](https://www.clien.net/service/board/park/13445775),0.85,8695,32,173
10,[ 김정란 교수 '황교안은 남자 박근혜다' ](https://www.clien.net/service/board/park/13443273),0.77,15670,34,143
11,[ 실종 23년만에 찾은 엄마 ](https://www.clien.net/service/board/park/13444614),0.73,17579,51,126
12,[ 한국인이 반드시 알아야 하는 한국 최고의 주식 고수... ㄷㄷㄷ ](https://www.clien.net/service/board/park/13443012),0.72,25669,12,127
13,[ 윤석렬 부장검사 징계하고 좌천한게 황교안이군요 -_-; ](https://www.clien.net/service/board/park/13444041),0.62,9014,24,121
14,"[ 박원순, 자한당 천막농성 좌시하지 않겠다. ](https://www.clien.net/service/board/park/13444255)",0.61,6314,27,121
15,[ 문재인 대통령 지지율 51.1%..4.4%P 상승 ](https://www.clien.net/service/board/park/13443892),0.51,6432,24,99
16,[ 오늘자 역대급 장도리..ㅋㅋ ](https://www.clien.net/service/board/park/13443550),0.45,13715,27,75
17,"[ 文, 노동절 작심 메시지 ""노동계 이미 주류···투쟁 아닌 상생 필요"".gisa ](https://www.clien.net/service/board/park/13445074)",0.42,6864,19,80
18,"[ 파산후,우울증..32살에 4년째 히키 ](https://www.clien.net/service/board/park/13442981)",0.38,34683,50,25
19,[ 자유왜구당 해산 청원 130만 돌파 기념 피자 당첨자 발표 ](https://www.clien.net/service/board/park/13442729),0.31,3770,16,60
20,[ 장도리 0502 ](https://www.clien.net/service/board/park/13446246),0.28,4689,10,55
21,[ 검찰총장이 입장내는걸 보면서 공수처 설치 필수네요 ](https://www.clien.net/service/board/park/13444906),0.25,3459,6,51
22,"[ 대통령 지지율 4.4% 급상승. 51.1%골든크로스, 20대 급상승 ](https://www.clien.net/service/board/park/13444147)",0.25,4527,18,44
23,"[ 검찰에 직격탄 날린 검사 ""자정능력 전혀 없다"" ](https://www.clien.net/service/board/park/13445862)",0.24,4476,4,48
24,[ 이번에 자유당은 역대급으로 자기 발등 찍은 듯 합니다. ](https://www.clien.net/service/board/park/13444081),0.24,3970,21,42
25,[ 릴레이630일)장충기 삼성공화국과 적폐청산 그날까지!!! ](https://www.clien.net/service/board/park/13443161),0.23,501,9,50
26,"[ 세월호 유가족 측 '자유당, 절대로 막겠다' ](https://www.clien.net/service/board/park/13444761)",0.23,3740,5,45
27,[ 원래 귀여운 이재정 의원의 자유당 폭파 ](https://www.clien.net/service/board/park/13444477),0.22,5328,21,37
28,[ 이것도 20만 갑시다 ](https://www.clien.net/service/board/park/13444683),0.22,3780,21,39
29,[ 소개팅 장소 논란.jpg ](https://www.clien.net/service/board/park/13445363),0.22,19063,74,0
30,[ 김어준의 생각 '중앙일보는 사람들을 바보로 아나 봅니다.' ](https://www.clien.net/service/board/park/13443225),0.22,4923,13,39
31,[ 순간포착! 정확히 150만명 청원 순간 ](https://www.clien.net/service/board/park/13443836),0.21,3570,4,42
32,[ 서울시 불허 방침에...한국당 광화문광장 천막당사 무산 ](https://www.clien.net/service/board/park/13444329),0.19,3606,19,33
33,[ 한걸레 근황.jpg ](https://www.clien.net/service/board/park/13443106),0.19,8423,22,25
34,[ 사나가 여초에서 까이는 이유.gif ](https://www.clien.net/service/board/park/13443278),0.19,9241,26,22
35,"[ 홍영표 '자유당, 고발 취하 없다. 보좌진들 중에 욕설, 막말, 폭력만 고발' ](https://www.clien.net/service/board/park/13445499)",0.19,4358,9,34
36,[ 오만불손한 검찰놈들 ](https://www.clien.net/service/board/park/13444951),0.19,2047,6,38
37,[ '재용이네 분식'.gif ](https://www.clien.net/service/board/park/13443886),0.19,6020,17,29
38,"[ 자한당 해산 청원 1,620,000 돌파 ](https://www.clien.net/service/board/park/13446074)",0.19,3079,10,35
39,[ 사나에게 악플남기던 사람들...SNS... ](https://www.clien.net/service/board/park/13445591),0.18,7675,27,23
40,"[ 세월호 특조위, 황교안 조사 결정.gisa ](https://www.clien.net/service/board/park/13444471)",0.18,2449,10,34
41,[ 아침 딸래미 침대 풍경.jpg ](https://www.clien.net/service/board/park/13442832),0.18,9819,16,22
42,[ (속보) 자한당 내일 10시 삭발식 예정 ](https://www.clien.net/service/board/park/13445708),0.17,8068,62,8
43,[ 많이들 참여하시라고 끌올합니다. 국회의원 국민소환제 청원 ](https://www.clien.net/service/board/park/13445256),0.16,1460,17,30
44,[ 국회의장 바뀌면 함 보자는 장제원 의원의 육성 협박 to 사무처직원 ](https://www.clien.net/service/board/park/13446198),0.16,3191,13,29
45,[ 문대통령과 이재용의 약속 ](https://www.clien.net/service/board/park/13444385),0.16,4874,17,25
46,[ 검찰총장 입장문을 왜 내는지 이해가.. ](https://www.clien.net/service/board/park/13444896),0.16,3405,18,26
47,[ 백상 영화부문 대상은 정우성 ](https://www.clien.net/service/board/park/13446369),0.16,4097,26,22
48,[ 저널리즘 토크쇼 J 상타네요 ](https://www.clien.net/service/board/park/13445956),0.16,2175,9,30
49,[ 옆동네 비행기 등받이 논란.txt ](https://www.clien.net/service/board/park/13443298),0.16,8931,61,3
50,[ (속보) 자유당 해산 청원 161만 돌파 ](https://www.clien.net/service/board/park/13445894),0.16,3583,14,26
51,[ 한국 검찰의 무소불위 권력 ㄷ ㄷ. jpg ](https://www.clien.net/service/board/park/13446133),0.15,6757,10,23
52,[ 기자들이 쓴 기사에 책임제를 실시하면 어떨까요? ](https://www.clien.net/service/board/park/13445825),0.15,1224,85,4
53,[ 나경원이원 전 비서 박창훈씨가 중학생에게 막말과 폭언 논란.기사 ](https://www.clien.net/service/board/park/13444100),0.15,3003,8,28
54,"[ 표창원 '자유당, 내가 재수 없다고요? 괜찮습니다' ](https://www.clien.net/service/board/park/13443369)",0.15,3771,10,26
55,[ 베네수엘라 정치 상황 요약 ](https://www.clien.net/service/board/park/13444306),0.15,5390,44,12
56,[ 전 사나 논란 이해 안가네요. ](https://www.clien.net/service/board/park/13443002),0.15,7044,23,17
57,[ 그냥 징병제 없애버렸으면 좋겠습니다. ](https://www.clien.net/service/board/park/13444413),0.15,1374,85,3
58,[ 현재 청원 인원.jpg ](https://www.clien.net/service/board/park/13444854),0.15,5162,12,23
59,[ 문통앞에서 재롱부리는 이재용.jpg ](https://www.clien.net/service/board/park/13442577),0.15,8109,61,2
60,[ 스티븡 유가 대한민국에 미친 효과 ](https://www.clien.net/service/board/park/13444206),0.15,4403,37,15
61,[ 왜구당 망하게 해주세요 ](https://www.clien.net/service/board/park/13444340),0.14,2375,9,26
62,[ 아키히토 일왕은 반전주의자인데... ](https://www.clien.net/service/board/park/13443092),0.14,2878,18,22
63,"[ 자유당 해산 1,440,000명 돌파~ ](https://www.clien.net/service/board/park/13443041)",0.14,3748,11,23
64,[ 다리가 생겨 기뻐하는 아이.gif ](https://www.clien.net/service/board/park/13444584),0.14,7240,6,20
65,[ 장제원 아들근황.jpg ](https://www.clien.net/service/board/park/13445867),0.14,10136,14,13
66,"[ 케텔, 하이텔, 천리안, 나우누리, 유니텔 ](https://www.clien.net/service/board/park/13442963)",0.13,2424,78,1
67,"[ (속보) 靑·정부· 민주당, 강원도 도민 위해 나섰다. ](https://www.clien.net/service/board/park/13443212)",0.13,2821,2,26
68,[ 20대 남자 현상은 왜 생겼나 (시사인) ](https://www.clien.net/service/board/park/13445064),0.13,4748,67,1
69,"[ 일본 제국주의 추종자 / 일반 일본인, 구분해야.. ](https://www.clien.net/service/board/park/13443011)",0.13,2850,6,24
70,[ 150만 돌파를 보니 생각나는 글귀.jpg ](https://www.clien.net/service/board/park/13443909),0.13,2480,1,26
71,[ 미더덕의 진실.jpg ](https://www.clien.net/service/board/park/13445317),0.13,11188,32,4
72,[ 청원글이 다 사라졌네요 1000만 청원 갑시다 ](https://www.clien.net/service/board/park/13445824),0.13,4208,3,23
73,[ 재롱떠는 이재용.......gif ](https://www.clien.net/service/board/park/13444464),0.13,7559,36,7
74,[ 베네수엘라 근황 ](https://www.clien.net/service/board/park/13444027),0.13,6639,33,9
75,[ 남편은 정말 남의편인가봐요. ](https://www.clien.net/service/board/park/13446281),0.13,5988,53,3
76,[ 자한당 보좌관 동정심유발 글을 본 감상.jpg ](https://www.clien.net/service/board/park/13442792),0.13,2755,6,23
77,[ 장제원이 힘을 보태주네요 ](https://www.clien.net/service/board/park/13444194),0.12,4908,18,16
78,[ 특조위 'CCTV 9시 30분까지 켜져있었을 것' ](https://www.clien.net/service/board/park/13445782),0.12,1838,0,26
79,[ 여성인 나경원 의원의 삭발 동참은 솔직히 너무 심한 거 같습니다. ](https://www.clien.net/service/board/park/13445651),0.12,5673,5,19
80,[ 자한당 해산 청원 159만 돌파입니다.jpg ](https://www.clien.net/service/board/park/13445480),0.12,3020,11,20
81,"[ 이정미 '나경원, 비서가 발판 챙기고 다니더라' ](https://www.clien.net/service/board/park/13443199)",0.12,4782,13,17
82,[ 베네수엘라 사태에 양비론은 동의 하기 어렵습니다. ](https://www.clien.net/service/board/park/13446006),0.12,1864,68,2
83,[ 아주 신난 이재용.gif ](https://www.clien.net/service/board/park/13445882),0.12,7378,26,9
84,"[ 자유한국당 정당해산 청원, 추천글에 항상 있었으면 좋겠습니다. ](https://www.clien.net/service/board/park/13446265)",0.12,889,0,26
85,[ CGV 유감. -_- 영화표 만원씩 주고 산 사람들이 엔딩 크레딧도 못보나요? ](https://www.clien.net/service/board/park/13445491),0.12,4170,40,8
86,[ 오늘 쉬지 않고 매장 오픈한게 정답이였네요 ](https://www.clien.net/service/board/park/13445715),0.12,6000,27,10
87,[ 879억짜리 구미의 랜드마크.JPG (추가) ](https://www.clien.net/service/board/park/13443854),0.12,6280,20,12
88,[ 프레임 씌우기에 항상 당해오던 진보진영 ](https://www.clien.net/service/board/park/13445767),0.12,2516,6,21
89,"[ 문무일 이 양반, 본색이 드러나는군요. ](https://www.clien.net/service/board/park/13445364)",0.11,4949,14,15
90,"[ 나경원,,, 정말 어이가~~~~~~ㅎ ](https://www.clien.net/service/board/park/13446335)",0.11,5940,13,14
91,[ 초저가 코스프레녀.jpg ](https://www.clien.net/service/board/park/13444771),0.11,13298,8,6
92,[ 내일 삭발하는 자유한국당 의원 라인업.jpg ](https://www.clien.net/service/board/park/13445983),0.11,6358,46,2
93,[ 수능 만점 2019 서울대 수석 입학생의 클라스.jpg ](https://www.clien.net/service/board/park/13442740),0.11,5897,35,6
94,[ 피임 하라는데 안하는 남친.jpg ](https://www.clien.net/service/board/park/13445042),0.11,10121,36,0
95,[ 현재 152만이 넘었습니다 ](https://www.clien.net/service/board/park/13444177),0.11,2903,5,20
96,[ 왜구가 길바닥으로 나가려 할때 문통은.. ](https://www.clien.net/service/board/park/13443586),0.11,2147,2,22
97,[ 프로그래머 남편.jpg ](https://www.clien.net/service/board/park/13443158),0.11,10645,22,4
98,[ 내일 삭발식에 여성당원 참석하라는 클라스 ](https://www.clien.net/service/board/park/13446043),0.11,5510,21,11
99,[ 예비역 마법소녀 이현지짱 ](https://www.clien.net/service/board/park/13443300),0.11,4754,15,14
100,[ 스포) 엔드게임에 대한 루소형제의 Q&A.jpg ](https://www.clien.net/service/board/park/13443279),0.11,3983,47,4
